city,latitude,longitude,average_temp,lat,lon
Luanda,8.84S,"13.78E",25.545,-8.84,13.78
Luanda,8.84S,"13.78E",25.692,-8.84,13.78
Luanda,8.84S,"13.78E",25.982,-8.84,13.78
Luanda,8.84S,"13.78E",26.034,-8.84,13.78
Luanda,8.84S,"13.78E",24.884,-8.84,13.78
Luanda,8.84S,"13.78E",22.583,-8.84,13.78
Luanda,8.84S,"13.78E",20.864,-8.84,13.78
Luanda,8.84S,"13.78E",20.831,-8.84,13.78
Luanda,8.84S,"13.78E",22.339,-8.84,13.78
Luanda,8.84S,"13.78E",23.443,-8.84,13.78
Luanda,8.84S,"13.78E",24.535,-8.84,13.78
Luanda,8.84S,"13.78E",24.644,-8.84,13.78
Luanda,8.84S,"13.78E",25.653,-8.84,13.78
Luanda,8.84S,"13.78E",25.841,-8.84,13.78
Luanda,8.84S,"13.78E",26.421,-8.84,13.78
